clicks,impressions,datetime,quantity,total_price
10,16,2022-07-06,4,8.100000000000001
10,12,2022-07-06,4,5.8999999999999995
4,11,2022-07-06,10,4.2
10,10,2022-07-06,10,6.800000000000001
8,15,2022-07-06,6,6.4
4,10,2022-07-06,3,4.4
8,11,2022-07-06,6,8.0
1,11,2022-07-06,3,6.8999999999999995
3,20,2022-07-06,5,6.0
3,16,2022-07-06,4,3.1
4,11,2022-07-06,5,7.0
7,15,2022-07-06,6,4.3
2,15,2022-07-06,4,0.3
2,11,2022-07-06,8,8.0
3,15,2022-07-06,8,2.4
10,13,2022-07-06,9,9.1
5,11,2022-07-06,9,4.699999999999999
8,16,2022-07-06,4,3.2
1,10,2022-07-06,6,4.4
9,11,2022-07-06,6,1.5
