clicks,impressions,datetime,quantity,total_price
2,12,2022-07-06,1,4.3
8,16,2022-07-06,3,0.7000000000000001
3,16,2022-07-06,6,0.3
7,11,2022-07-06,6,5.8999999999999995
10,13,2022-07-06,8,5.8999999999999995
5,10,2022-07-06,3,6.5
10,16,2022-07-06,6,5.300000000000001
9,10,2022-07-06,3,3.7
5,11,2022-07-06,1,7.5
7,16,2022-07-06,2,3.5
6,19,2022-07-06,5,4.699999999999999
5,14,2022-07-06,8,8.7
6,20,2022-07-06,7,7.4
10,20,2022-07-06,10,0.2
9,14,2022-07-06,7,7.6
10,14,2022-07-06,9,2.9
10,17,2022-07-06,9,5.0
5,10,2022-07-06,5,4.5
2,14,2022-07-06,1,5.4
3,10,2022-07-06,6,7.7
