clicks,impressions,datetime,quantity,total_price
5,14,2022-07-06,1,5.300000000000001
6,17,2022-07-06,2,8.5
5,20,2022-07-06,7,8.299999999999999
8,12,2022-07-06,10,1.4000000000000001
9,12,2022-07-06,3,6.0
9,17,2022-07-06,2,4.4
8,20,2022-07-06,5,9.399999999999999
5,12,2022-07-06,6,2.8000000000000003
8,16,2022-07-06,4,2.5
2,19,2022-07-06,6,7.4
2,15,2022-07-06,3,3.4000000000000004
4,16,2022-07-06,1,2.2
10,17,2022-07-06,7,9.7
1,16,2022-07-06,8,0.5
4,10,2022-07-06,7,3.4000000000000004
1,12,2022-07-06,6,2.0
3,12,2022-07-06,9,8.100000000000001
9,13,2022-07-06,5,2.7
3,18,2022-07-06,3,5.300000000000001
6,15,2022-07-06,9,7.5
