clicks,impressions,datetime,quantity,total_price
10,17,2022-07-06,9,6.8999999999999995
2,20,2022-07-06,2,4.2
4,10,2022-07-06,2,6.6000000000000005
2,11,2022-07-06,5,7.3
7,16,2022-07-06,7,4.2
8,16,2022-07-06,4,8.0
4,15,2022-07-06,3,8.2
1,15,2022-07-06,7,2.2
9,16,2022-07-06,6,6.6000000000000005
5,20,2022-07-06,10,1.9
5,19,2022-07-06,3,9.5
7,20,2022-07-06,5,3.9000000000000004
2,11,2022-07-06,8,2.5
9,14,2022-07-06,1,8.4
2,13,2022-07-06,5,2.5
2,16,2022-07-06,6,1.9
2,18,2022-07-06,6,4.3
3,18,2022-07-06,5,0.5
2,15,2022-07-06,8,5.2
5,11,2022-07-06,4,8.2
