clicks,impressions,datetime,quantity,total_price
10,17,2022-07-06,7,6.4
6,11,2022-07-06,1,4.2
1,15,2022-07-06,5,7.1
10,13,2022-07-06,2,4.0
10,16,2022-07-06,3,2.5
3,15,2022-07-06,7,0.8
8,19,2022-07-06,4,8.7
5,14,2022-07-06,10,3.4000000000000004
6,13,2022-07-06,9,3.9000000000000004
7,19,2022-07-06,4,6.5
6,19,2022-07-06,8,8.6
6,18,2022-07-06,6,2.4
7,10,2022-07-06,8,5.699999999999999
1,19,2022-07-06,6,2.7
8,14,2022-07-06,4,5.4
6,13,2022-07-06,10,0.6
5,14,2022-07-06,6,2.6
6,12,2022-07-06,5,4.9
7,16,2022-07-06,10,7.3
3,14,2022-07-06,4,4.1
