clicks,impressions,datetime,quantity,total_price
5,18,2022-07-06T18:39:32.859Z,4,5.6000000000000005
5,16,2022-07-06T18:39:32.859Z,1,2.2
5,15,2022-07-06T18:39:32.859Z,5,7.0
3,20,2022-07-06T18:39:32.859Z,10,9.200000000000001
8,20,2022-07-06T18:39:32.859Z,2,2.3000000000000003
6,16,2022-07-06T18:39:32.859Z,4,2.6
4,10,2022-07-06T18:39:32.859Z,5,0.8999999999999999
7,19,2022-07-06T18:39:32.859Z,3,5.300000000000001
3,17,2022-07-06T18:39:32.859Z,7,5.1
4,13,2022-07-06T18:39:32.859Z,8,3.4000000000000004
6,18,2022-07-06T18:40:22.990Z,7,0.2
4,11,2022-07-06T18:40:22.990Z,6,3.2
8,11,2022-07-06T18:40:22.990Z,6,5.699999999999999
2,13,2022-07-06T18:40:22.990Z,1,1.7999999999999998
8,17,2022-07-06T18:40:22.990Z,8,3.3000000000000003
3,16,2022-07-06T18:40:22.990Z,10,9.399999999999999
4,19,2022-07-06T18:40:22.990Z,4,5.4
6,18,2022-07-06T18:40:22.991Z,5,2.9
1,15,2022-07-06T18:40:22.991Z,5,3.5999999999999996
7,19,2022-07-06T18:40:22.991Z,8,9.200000000000001
9,12,2022-07-06T18:40:12.957Z,2,0.5
7,18,2022-07-06T18:40:12.957Z,6,8.299999999999999
7,16,2022-07-06T18:40:12.957Z,6,8.299999999999999
10,18,2022-07-06T18:40:12.958Z,7,9.399999999999999
5,18,2022-07-06T18:40:12.958Z,8,4.5
10,14,2022-07-06T18:40:12.958Z,5,5.5
6,11,2022-07-06T18:40:12.958Z,1,0.8999999999999999
5,15,2022-07-06T18:40:12.958Z,9,2.3000000000000003
5,16,2022-07-06T18:40:12.958Z,6,2.0
3,11,2022-07-06T18:40:12.958Z,9,7.9
5,16,2022-07-06T18:40:38.031Z,10,0.7000000000000001
3,16,2022-07-06T18:40:38.032Z,5,4.2
8,10,2022-07-06T18:40:38.032Z,1,1.7000000000000002
2,11,2022-07-06T18:40:38.032Z,7,3.5999999999999996
6,18,2022-07-06T18:40:38.032Z,10,1.0
1,10,2022-07-06T18:40:38.032Z,7,3.5999999999999996
1,16,2022-07-06T18:40:38.032Z,7,1.1
3,12,2022-07-06T18:40:38.032Z,10,4.0
1,20,2022-07-06T18:40:38.032Z,4,9.0
10,12,2022-07-06T18:40:38.032Z,2,2.0
9,10,2022-07-06T18:38:47.698Z,3,7.6
1,11,2022-07-06T18:38:47.698Z,9,6.8999999999999995
2,17,2022-07-06T18:38:47.698Z,9,4.5
7,17,2022-07-06T18:38:47.698Z,6,0.7000000000000001
10,17,2022-07-06T18:38:47.698Z,5,6.5
2,12,2022-07-06T18:38:47.699Z,9,3.5999999999999996
9,20,2022-07-06T18:38:47.699Z,9,4.0
10,11,2022-07-06T18:38:47.699Z,9,8.7
4,11,2022-07-06T18:38:47.699Z,9,3.3000000000000003
9,18,2022-07-06T18:38:47.699Z,6,2.2
9,19,2022-07-06T18:38:37.680Z,2,1.5
6,19,2022-07-06T18:38:37.680Z,2,3.9000000000000004
2,15,2022-07-06T18:38:37.680Z,6,6.0
7,13,2022-07-06T18:38:37.680Z,9,2.9
9,10,2022-07-06T18:38:37.680Z,3,1.4000000000000001
9,13,2022-07-06T18:38:37.680Z,1,0.8999999999999999
10,16,2022-07-06T18:38:37.680Z,7,6.5
1,16,2022-07-06T18:38:37.680Z,1,5.8
8,10,2022-07-06T18:38:37.680Z,8,7.0
7,10,2022-07-06T18:38:37.680Z,1,8.100000000000001
3,19,2022-07-06T18:39:57.914Z,7,1.7999999999999998
9,11,2022-07-06T18:39:57.914Z,3,5.699999999999999
6,16,2022-07-06T18:39:57.914Z,8,3.9000000000000004
