clicks,impressions,datetime,quantity,total_price
6,17,2022-07-06T18:39:42.877Z,10,1.5
10,19,2022-07-06T18:39:42.877Z,8,6.5
4,18,2022-07-06T18:39:42.878Z,7,2.6
7,16,2022-07-06T18:39:42.878Z,3,6.2
8,13,2022-07-06T18:39:42.878Z,3,2.7
9,16,2022-07-06T18:39:42.878Z,2,0.8
8,17,2022-07-06T18:39:42.878Z,2,4.4
2,18,2022-07-06T18:39:42.878Z,8,0.3
6,19,2022-07-06T18:39:42.878Z,4,8.4
6,19,2022-07-06T18:39:42.878Z,5,7.800000000000001
4,11,2022-07-06T18:40:17.974Z,2,9.6
8,16,2022-07-06T18:40:17.975Z,8,6.4
3,13,2022-07-06T18:40:17.975Z,9,4.2
4,20,2022-07-06T18:40:17.975Z,9,8.7
4,13,2022-07-06T18:40:17.975Z,3,0.8
7,15,2022-07-06T18:40:17.975Z,9,9.200000000000001
6,11,2022-07-06T18:40:17.975Z,10,0.4
6,15,2022-07-06T18:40:17.975Z,6,7.1
6,16,2022-07-06T18:40:17.975Z,5,7.5
8,20,2022-07-06T18:40:17.975Z,1,4.3
8,12,2022-07-06T18:40:58.095Z,8,0.6
6,19,2022-07-06T18:40:58.095Z,10,4.2
9,20,2022-07-06T18:40:58.095Z,6,8.0
3,15,2022-07-06T18:40:58.095Z,6,0.5
5,19,2022-07-06T18:40:58.095Z,4,4.2
4,12,2022-07-06T18:40:58.095Z,1,8.2
4,16,2022-07-06T18:40:58.095Z,2,2.6
4,14,2022-07-06T18:40:58.095Z,6,1.0
1,15,2022-07-06T18:40:58.095Z,6,8.0
5,19,2022-07-06T18:40:58.095Z,1,5.300000000000001
